symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-03-14 00:00:00+00:00,93.85,95.41,93.5,95.12,31576898,88.5453127698,90.0171368286,88.2150958335,89.74352851,31576898,0.0,1.0
MSFT,2018-03-15 00:00:00+00:00,94.18,94.58,92.83,93.53,26279014,88.8566601668,89.2340509512,87.5829662698,88.2434001423,26279014,0.0,1.0
MSFT,2018-03-16 00:00:00+00:00,94.6,95.38,93.92,94.68,47329521,89.2529204904,89.9888325198,88.611356157,89.3283986472,47329521,0.0,1.0
MSFT,2018-03-19 00:00:00+00:00,92.89,93.9,92.11,93.74,31752589,87.6395748874,88.5924866178,86.903662858,88.4415303041,31752589,0.0,1.0
MSFT,2018-03-20 00:00:00+00:00,93.13,93.77,93.0,93.05,21787780,87.866009358,88.4698346129,87.7433573531,87.7905312012,21787780,0.0,1.0
MSFT,2018-03-21 00:00:00+00:00,92.48,94.05,92.21,92.93,23753263,87.2527493335,88.7340081619,86.9980105541,87.6773139659,23753263,0.0,1.0
MSFT,2018-03-22 00:00:00+00:00,89.79,91.75,89.66,91.27,37578166,84.714796309,86.5640111521,84.5921443041,86.111142211,37578166,0.0,1.0
MSFT,2018-03-23 00:00:00+00:00,87.18,90.46,87.08,89.5,42159397,82.2523214413,85.3469258727,82.1579737453,84.4411879904,42159397,0.0,1.0
MSFT,2018-03-26 00:00:00+00:00,93.78,94.0,90.4,90.61,55031149,88.4792693825,88.6868343139,85.2903172551,85.4884474168,55031149,0.0,1.0
MSFT,2018-03-27 00:00:00+00:00,89.47,95.14,88.51,94.94,53704562,84.4128836815,89.7623980492,83.5071457992,89.573702657,53704562,0.0,1.0
MSFT,2018-03-28 00:00:00+00:00,89.39,91.23,88.87,89.82,52501146,84.3374055247,86.0734031325,83.8467975051,84.7431006178,52501146,0.0,1.0
